Name,Average Placement,Total Placement,Count
TFT_Item_AegisOfTheLegion,1.0,1,1
TFT12_Item_EldritchEmblemItem,1.5,3,2
TFT_Item_SpectralGauntlet,1.5,3,2
TFT_Item_AdaptiveHelm,2.0,4,2
TFT5_Item_ArchangelsStaffRadiant,2.0,2,1
TFT_Item_ChainVest,2.0,2,1
TFT_Item_FrozenHeart,2.0,2,1
TFT4_Item_OrnnRanduinsSanctum,2.0,4,2
TFT4_Item_OrnnAnimaVisage,2.0,4,2
TFT4_Item_OrnnDeathsDefiance,2.0,2,1
TFT_Item_BFSword,2.0,2,1
TFT_Item_PowerGauntlet,2.5,5,2
TFT_Item_GuardianAngel,2.67,8,3
TFT_Item_IonicSpark,2.83,17,6
TFT_Item_TitansResolve,2.83,17,6
TFT7_Item_ShimmerscaleGamblersBlade,3.0,3,1
TFT_Item_UnstableTreasureChest,3.0,3,1
TFT_Item_LastWhisper,3.2,16,5
TFT_Item_RapidFireCannon,3.33,10,3
TFT12_Item_FrostEmblemItem,3.33,10,3
TFT4_Item_OrnnInfinityForce,3.33,10,3
TFT4_Item_OrnnZhonyasParadox,3.5,7,2
TFT_Item_RedBuff,3.5,28,8
TFT_Item_WarmogsArmor,3.64,40,11
TFT_Item_NightHarvester,3.67,11,3
TFT_Item_StatikkShiv,3.8,19,5
TFT_Item_Leviathan,3.91,43,11
TFT_Item_SpearOfShojin,3.92,47,12
TFT12_Item_PyroEmblemItem,4.0,8,2
TFT_Item_UnstableConcoction,4.0,20,5
TFT12_Item_IncantorEmblemItem,4.0,4,1
TFT12_Item_ArcanaEmblemItem,4.0,4,1
TFT_Item_ArchangelsStaff,4.0,16,4
TFT5_Item_TitansResolveRadiant,4.0,4,1
TFT_Item_SteraksGage,4.0,16,4
TFT_Item_SupportKnightsVow,4.0,4,1
TFT_Item_JeweledGauntlet,4.08,53,13
TFT_Item_MadredsBloodrazor,4.14,29,7
TFT_Item_Redemption,4.17,25,6
TFT_Item_RecurveBow,4.33,13,3
TFT_Item_ThiefsGloves,4.33,26,6
TFT_Item_GargoyleStoneplate,4.62,37,8
TFT_Item_GuinsoosRageblade,4.71,198,42
TFT_Item_DragonsClaw,4.75,57,12
TFT_Item_Morellonomicon,4.75,19,4
TFT_Item_BlueBuff,4.8,24,5
TFT_Item_HextechGunblade,4.8,24,5
TFT_Item_InfinityEdge,4.83,29,6
TFT_Item_Bloodthirster,4.89,44,9
TFT4_Item_OrnnMuramana,5.0,15,3
TFT_Item_BrambleVest,5.0,10,2
TFT_Item_RadiantVirtue,5.0,5,1
TFT_Item_Deathblade,5.5,22,4
TFT_Item_Quicksilver,5.5,11,2
TFT_Item_Artifact_LudensTempest,6.0,6,1
TFT_Item_RabadonsDeathcap,6.0,6,1
TFT12_Item_Faerie_Armor,6.0,6,1
TFT_Item_BansheesVeil,6.0,6,1
TFT_Item_Artifact_Fishbones,6.0,6,1
TFT9_Item_OrnnHorizonFocus,6.0,6,1
TFT_Item_Crownguard,7.0,14,2
TFT12_Item_Faerie_QueensCrown,7.0,14,2
TFT12_Item_HunterEmblemItem,7.0,7,1
TFT4_Item_OrnnObsidianCleaver,7.0,7,1
TFT12_Item_BastionEmblemItem,8.0,8,1
TFT_Item_SparringGloves,8.0,8,1
TFT_Item_NegatronCloak,8.0,8,1
TFT_Item_LocketOfTheIronSolari,8.0,8,1
